login;password;numero;prenom;nom;sexe;date;classe;niveau
6a.01;Eole12345!;1;6a;01;M;01/01/2000;6a;6
6a.02;Eole12345!;2;6a;02;M;01/01/2000;6a;6
6b.01;Eole12345!;3;6b;01;M;01/01/2000;6b;6
6b.02;Eole12345!;4;6b;02;M;01/01/2000;6b;6
5a.01;Eole12345!;5;5a;01;M;01/01/2000;5a;5
5a.02;Eole12345!;6;5a;02;M;01/01/2000;5a;5
5b.01;Eole12345!;7;5b;01;M;01/01/2000;5b;5
5b.02;Eole12345!;8;5b;02;M;01/01/2000;5b;5
4a.01;Eole12345!;9;4a;01;M;01/01/2000;4a;4
4a.02;Eole12345!;10;4a;02;M;01/01/2000;4a;4
4b.01;Eole12345!;11;4b;01;M;01/01/2000;4b;4
4b.02;Eole12345!;12;4b;02;M;01/01/2000;4b;4
3a.01;Eole12345!;13;3a;01;M;01/01/2000;3a;3
3a.02;Eole12345!;14;3a;02;M;01/01/2000;3a;3
3b.01;Eole12345!;15;3b;01;M;01/01/2000;3b;3
3b.02;Eole12345!;16;3b;02;M;01/01/2000;3b;3
prenom.eleve107;Eole12345!;17;prenom;eleve107;M;07/11/1994;c31;3eme
prenom.eleve112;Eole12345!;18;prenom;eleve112;M;01/01/2000;c31;3eme
