login;password;numero;prenom;nom;sexe;date;classes
prof.6a;Eole12345!;1;prof;6a;M;01/01/2000;6a
prof.6b;Eole12345!;2;prof;6b;M;01/01/2000;6b
prof.5a;Eole12345!;3;prof;5a;M;01/01/2000;5a
prof.5b;Eole12345!;4;prof;5b;M;01/01/2000;5b
prof.4a;Eole12345!;5;prof;4a;M;01/01/2000;4a
prof.4b;Eole12345!;6;prof;4b;M;01/01/2000;4b
prof.3a;Eole12345!;7;prof;3a;M;01/01/2000;3a
prof.3b;Eole12345!;8;prof;3b;M;01/01/2000;3b
profpo;Eole12345!;9;profpo;printoperator;M;01/01/2000;po
prenom.prof26;Eole12345!;10;prenom;prof26;M;01/01/2000;c31
prenom.prof21;Eole12345!;11;prenom;prof21;M;01/01/2000;c31
test.prof;Eole12345!;12;test;prof;M;01/01/2000;c31
